date	State Line Gauge	Roscoe	Overton	Kearney	Grand Island	Dunning	Saint Paul	North Bend	Louisville
2/3/12	209	759	2780	2920	2550	593	1830	7000	8420
2/4/12	207	700	2920	2980	2940	575	1750	6990	8520
2/5/12	201	746	2960	2830	2670	554	1600	6570	7810
2/6/12	196	850	2960	2880	2610	552	1460	6550	7900
2/7/12	193	941	2870	2880	2650	552	1550	6640	8800
2/8/12	194	1010	2810	2850	2610	563	1480	6280	8670
2/9/12	193	1070	2700	2840	2590	493	1390	6310	8810
2/10/12	196	1160	2680	2830	2550	505	1490	6040	8630
2/11/12	196	1130	2720	2860	2420	500	1290	5520	8130
2/12/12	193	1080	2700	2770	2290	503	1040	4950	7770
2/13/12	197	1150	1670	2340	2450	510	1230	4430	6030
2/14/12	204	1180	2460	2200	2390	484	1370	4040	5290
2/15/12	204	1160	3170	3130	2160	536	1420	4210	5490
2/16/12	200	1150	3060	3080	2710	542	1460	4480	5890
2/17/12	200	1120	2860	2890	2970	541	1380	5960	7700
2/18/12	202	1100	2930	2810	2960	546	1390	6800	9050
2/19/12	198	1080	3070	2970	2890	544	1300	6760	9480
2/20/12	199	1050	3060	3090	2950	570	1460	6840	10200
2/21/12	198	986	3100	3150	2970	551	1560	7140	10300
2/22/12	198	914	3060	3120	3010	555	1640	7130	10800
2/23/12	207	874	3010	3100	2980	579	1600	7180	10900
2/24/12	202	810	2880	2990	2940	551	1720	6960	10500
2/25/12	193	740	2670	2860	2860	525	1470	6960	10300
2/26/12	195	696	2570	2710	2730	559	1410	7060	10400
2/27/12	195	656	2690	2690	2560	512	1330	6980	9980
2/28/12	197	688	2770	2870	2600	511	1240	7200	10100
2/29/12	198	724	2800	2880	2730	542	1260	6940	10600
3/1/12	196	733	2830	2910	2710	534	1310	7670	10600
3/2/12	197	715	2830	2930	2740	538	1130	7070	11500
3/3/12	192	687	2660	2870	2780	521	1130	6980	11200
3/4/12	190	691	2730	2740	2740	540	1230	6550	10500
3/5/12	195	693	2810	2710	2670	537	1330	6660	9810
3/6/12	199	672	2740	2680	2660	555	1520	6320	9740
3/7/12	200	649	2810	2630	2660	574	1550	6270	9390
3/8/12	201	638	2830	2610	2600	545	1560	6290	9580
3/9/12	198	616	2730	2560	2530	534	1560	6690	9470
3/10/12	198	615	2440	2230	2500	533	1530	6590	9810
3/11/12	201	606	2620	2260	2450	546	1400	6310	9930
3/12/12	204	595	2340	2130	2530	570	1520	6350	9760
3/13/12	204	580	2580	2270	2460	559	1630	6450	9870
3/14/12	203	537	2390	2060	2430	565	1670	6290	9830
3/15/12	200	509	2310	1950	2350	562	1640	6230	9580
3/16/12	196	477	1700	1530	2220	570	1520	6200	9450
3/17/12	185	435	1630	1430	1980	580	1550	6210	9170
3/18/12	183	401	2030	1680	1780	579	1550	6030	8940
3/19/12	191	372	2180	1980	1840	589	1420	5830	8520
3/20/12	193	354	2040	2070	2110	582	1600	5000	8300
3/21/12	191	327	1910	1970	2130	563	1570	5910	7920
3/22/12	189	329	1590	1620	2140	596	1550	6540	8230
3/23/12	188	323	1570	1550	1730	597	1650	6270	8640
